Road_ID,Length,Number of Bends,Traffic Volume,AccidentRisk
R101,10.5,5,500,Medium
R102,8.2,3,300,Low
R103,12.8,7,700,High
R104,9.1,4,400,Medium
R105,11.4,6,600,Medium
R106,7.9,2,200,Low
R107,13.2,8,800,High
R108,10.1,5,500,Medium
R109,8.5,3,350,Low
R110,12.1,7,750,High
R111,9.5,4,450,Medium
R112,11.8,6,650,Medium
R113,8.8,3,380,Low
R114,13.5,8,850,High
R115,10.3,5,550,Medium
R116,9.2,4,420,Medium
R117,12.4,7,780,High
R118,8.1,2,250,Low
R119,11.1,6,620,Medium
R120,9.8,4,480,Medium
R121,13.8,8,900,High
R122,10.8,5,580,Medium
R123,8.6,3,360,Low
R124,12.6,7,810,High
R125,9.4,4,440,Medium
R126,11.5,6,680,Medium
R127,8.4,2,280,Low
R128,13.1,8,870,High
R129,10.2,5,520,Medium
R130,9.1,4,410,Medium
R131,12.3,7,790,High
R132,8.9,3,370,Low
R133,11.2,6,630,Medium
R134,9.6,4,460,Medium
R135,13.4,8,890,High
R136,10.5,5,560,Medium
R137,8.3,2,260,Low
R138,12.5,7,820,High
R139,9.3,4,430,Medium
R140,11.4,6,660,Medium
R141,8.7,3,350,Low
R142,13.6,8,910,High
R143,10.9,5,600,Medium
R144,9.5,4,470,Medium
R145,12.2,7,800,High
R146,8.2,2,240,Low
R147,11.6,6,690,Medium
R148,9.9,4,490,Medium
R149,13.3,8,880,High
R150,10.6,5,580,Medium
