Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
01-Nov-2017,EQ,430.95,439.95,428.45,428.40,437.20,437.75,436.09,552.00,358.5,"73,10,931","3,18,82,60,366.15","60,645"
02-Nov-2017,EQ,435.70,440.40,429.90,437.75,435.50,434.90,433.95,552.00,358.5,"82,62,211","3,58,53,68,004.65","58,575"
03-Nov-2017,EQ,434.00,449.35,432.65,434.90,448.50,447.70,442.06,552.00,358.5,"81,16,263","3,58,79,02,427.35","1,09,297"
06-Nov-2017,EQ,445.75,468.00,443.55,447.70,457.90,462.90,457.93,552.00,358.5,"1,94,56,789","8,90,97,61,236.55","1,56,164"
07-Nov-2017,EQ,458.20,465.90,450.05,462.90,451.70,451.85,457.37,552.00,358.5,"1,32,66,543","6,06,76,85,188.00","1,27,450"
08-Nov-2017,EQ,448.00,455.00,431.30,451.85,440.50,438.20,443.57,552.00,358.5,"1,11,93,613","4,96,51,26,940.90","1,42,685"
09-Nov-2017,EQ,442.10,450.90,425.65,438.20,440.35,440.15,441.67,552.00,358.5,"4,05,47,266","17,90,84,35,353.70","3,38,004"
10-Nov-2017,EQ,438.95,438.95,420.00,440.15,421.55,422.55,426.07,552.00,358.5,"2,25,34,490","9,60,13,44,286.65","2,13,471"
13-Nov-2017,EQ,423.00,427.50,416.10,422.55,417.85,418.10,422.06,552.00,358.5,"98,57,544","4,16,04,53,308.25","97,272"
14-Nov-2017,EQ,418.55,421.85,410.65,418.10,414.00,414.30,416.06,552.00,358.5,"89,87,515","3,73,93,53,635.25","90,996"
15-Nov-2017,EQ,414.30,417.55,407.00,414.30,409.65,408.65,411.75,552.00,358.5,"98,67,270","4,06,28,75,154.10","1,04,073"
16-Nov-2017,EQ,411.35,415.90,411.35,408.65,415.00,413.45,413.82,552.00,358.5,"62,91,441","2,60,35,26,847.85","81,043"
17-Nov-2017,EQ,419.45,423.45,417.00,413.45,421.70,421.80,420.22,552.00,358.5,"61,91,428","2,60,17,90,528.55","91,339"
20-Nov-2017,EQ,421.00,425.70,420.10,421.80,423.35,423.00,422.71,552.00,358.5,"40,51,153","1,71,24,62,247.05","42,978"
21-Nov-2017,EQ,424.45,430.00,422.50,423.00,424.00,424.25,425.97,552.00,358.5,"67,45,407","2,87,33,60,502.80","72,243"
